,Timestamp,Acc_X,Acc_Y,Acc_Z,AngV_X,AngV_Y,AngV_Z,Mag_X,Mag_Y,Mag_Z,Orin_X,Orin_Y,Orin_Z,Activity
75,2021-10-12 16:48:25.791,-2.578388,-0.7215,9.483828,-0.297007,0.580727,-0.017132,9.315045,-24.570534,11.587323,-153.199315,4.579151,16.486306,drop_and_pickup
76,2021-10-12 16:48:25.841,-2.927163,-1.028362,8.144114,0.299932,-0.472516,0.041971,9.159222,-24.688139,11.492569,-153.129521,4.01826,15.394955,drop_and_pickup
77,2021-10-12 16:48:25.891,-2.297273,-0.626298,10.129735,-0.032771,0.377037,-0.018789,9.275777,-24.711649,11.471306,-153.07682,3.989813,15.773716,drop_and_pickup
78,2021-10-12 16:48:25.941,-2.654131,-0.720302,9.283844,-0.173096,0.210384,0.002234,9.134508,-24.849669,11.690289,-153.175337,4.414022,16.593316,drop_and_pickup
79,2021-10-12 16:48:25.991,-3.108586,-0.902473,8.875942,0.117088,-0.052717,0.017792,9.035398,-24.746576,11.429935,-153.139705,4.290356,16.576987,drop_and_pickup
80,2021-10-12 16:48:26.041,-2.554438,-0.626747,9.563612,-0.022901,0.036893,0.005899,9.160062,-24.815981,11.656623,-153.134599,4.273718,16.489239,drop_and_pickup
81,2021-10-12 16:48:26.091,-2.868186,-0.787363,9.300609,-0.046325,0.199776,-0.020746,9.035163,-24.820698,11.670808,-153.134436,4.477334,17.178263,drop_and_pickup
82,2021-10-12 16:48:26.141,-2.9333,-0.809367,9.199869,0.036488,-0.137046,-0.002719,9.055722,-24.764471,11.822525,-153.084059,4.405104,16.859389,drop_and_pickup
83,2021-10-12 16:48:26.191,-2.6209,-0.697549,9.418265,-0.018279,0.086984,-0.003634,9.189237,-24.706175,11.721854,-153.077708,4.474219,16.961812,drop_and_pickup
84,2021-10-12 16:48:26.241,-2.813549,-0.777932,9.260193,-0.007222,0.007555,0.001206,9.040166,-24.683592,11.575539,-153.07703,4.523471,17.062561,drop_and_pickup
85,2021-10-12 16:48:26.291,-2.640659,-0.768053,9.23789,0.022844,-0.052168,-0.017523,9.013041,-24.596241,11.695561,-153.025646,4.498558,16.906553,drop_and_pickup
86,2021-10-12 16:48:26.341,-3.302433,-0.669707,8.698112,-0.042691,0.262217,0.008984,9.131805,-24.620436,11.769612,-152.953889,4.562919,17.150655,drop_and_pickup
87,2021-10-12 16:48:26.391,-3.21696,0.907413,11.076816,-0.051997,-0.826831,0.374277,9.146072,-24.683508,11.447514,-153.751161,4.616594,15.640669,drop_and_pickup
88,2021-10-12 16:48:26.441,-3.713927,-2.234853,11.647279,-1.126031,-0.713939,1.069388,8.477794,-25.412552,10.653299,-157.452393,6.425675,14.135449,drop_and_pickup
89,2021-10-12 16:48:26.490,-2.816094,-3.57756,10.962453,-1.091214,0.041064,0.11364,7.764534,-26.340874,8.684921,-158.983285,9.395806,14.082442,drop_and_pickup
